trt,analyte,val,sd,facet,type
Low Temp. Ash,Co,0.013744822421310967,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Low Temp. Ash,Ni,0.3252826771152067,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Low Temp. Ash,Cu,0.4801211777572051,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Low Temp. Ash,Zn,0.024323747369724355,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Low Temp. Ash,Cd,0.0037313277501313698,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
Low Temp. Ash,Pb,0.04554916592308215,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,Mn,1.5282129648133005,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,Fe,2.7469343558460264,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,Co,0.006261686933960013,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,Ni,0.13321124800269385,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,Cu,0.4032315436581694,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,Zn,0.3078960468656483,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,Cd,0.001162424581211756,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,Pb,0.034942333331946136,NA,bold(Trace~metals~(nmol~L^-1)),bold(Amendment)
High Temp. Ash,DOC,3.8122291176633496,0.4536830001548466,bold(Organic~carbon~(µmol~L^-1)),bold(Amendment)
Low Temp. Ash,DOC,4.168799895398969,1.706606339822307,bold(Organic~carbon~(µmol~L^-1)),bold(Amendment)
Thomas Fire Ash,DOC,3.857341859459931,0.7010492229693571,bold(Organic~carbon~(µmol~L^-1)),bold(Amendment)
