exp,influx_id,trt,ash,amend,phyto,biomass,composite_z,rate,val,sd,biomass2,flabel
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.7711573401887103,0.39518892718207066,bold(Biomass~index~'>'~1),4
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.22816243348932785,0.39518892718207055,bold(Biomass~index~'>'~1),5
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.5429949066993824,7.850462293418876e-17,bold(Biomass~index~'>'~1),6
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.6170234850871447,0,bold(Biomass~index~'>'~1),4
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0,0,bold(Biomass~index~'>'~1),5
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.6170234850871447,0,bold(Biomass~index~'>'~1),6
PB3,8,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.8823688767535164,0.2052283042572528,bold(Biomass~index~'>'~1),4
PB3,8,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.5569464763188885,0.20522830425725277,bold(Biomass~index~'>'~1),5
PB3,8,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.32542240043462795,5.551115123125783e-17,bold(Biomass~index~'>'~1),6
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.960712653948757,0.31622883007483676,bold(Biomass~index~'>'~1),7
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.5762311981411836,0.31622883007483676,bold(Biomass~index~'>'~1),8
PB3,8,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.3844814558075734,3.925231146709438e-17,bold(Biomass~index~'>'~1),9
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.7231533453890726,0.2876137208201206,bold(Biomass~index~'>'~1),7
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.19252509432690226,0.2876137208201207,bold(Biomass~index~'>'~1),8
PB3,8,Low Temp. Ash,Lab Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.5306282510621704,7.850462293418876e-17,bold(Biomass~index~'>'~1),9
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.6652897389920388,0.25180386889646883,bold(Biomass~index~'>'~1),7
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.2713854532849503,0.25180386889646883,bold(Biomass~index~'>'~1),8
PB3,8,High Temp. Ash,Lab Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.39390428570708846,0,bold(Biomass~index~'>'~1),9
PB3,8,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Division~(d^-1)),0.6342262630158442,0.1934940812783099,bold(Biomass~index~'>'~1),7
PB3,8,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Grazing~(d^-1)),0.11351180712060623,0.19349408127830992,bold(Biomass~index~'>'~1),8
PB3,8,Control,Control,Control,Nanoeukaryotes,bold(Higher~biomass~index),1.26638608160356,bold(Accumulation~(d^-1)),0.5207144558952379,0,bold(Biomass~index~'>'~1),9
P3.5,9,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),4.398811878062423,bold(Division~(d^-1)),0.6032908514380843,0,bold(Biomass~index~'>'~1),1
P3.5,9,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),4.398811878062423,bold(Grazing~(d^-1)),0,0,bold(Biomass~index~'>'~1),2
P3.5,9,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,italic(Synechococcus),bold(Higher~biomass~index),4.398811878062423,bold(Accumulation~(d^-1)),0.6032908514380843,0,bold(Biomass~index~'>'~1),3
P3.5,9,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),4.398811878062423,bold(Division~(d^-1)),0.5039250852499395,0.005583740967865647,bold(Biomass~index~'>'~1),1
P3.5,9,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),4.398811878062423,bold(Grazing~(d^-1)),0.0033710118057786067,0.005583740967865657,bold(Biomass~index~'>'~1),2
P3.5,9,Control,Control,Control,italic(Synechococcus),bold(Higher~biomass~index),4.398811878062423,bold(Accumulation~(d^-1)),0.5005540734441609,0,bold(Biomass~index~'>'~1),3
P3.5,9,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),4.398811878062423,bold(Division~(d^-1)),0.8565460719132845,0.015548918165023263,bold(Biomass~index~'>'~1),4
P3.5,9,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),4.398811878062423,bold(Grazing~(d^-1)),0.00897717208818363,0.015548918165023243,bold(Biomass~index~'>'~1),5
P3.5,9,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Picoeukaryotes,bold(Higher~biomass~index),4.398811878062423,bold(Accumulation~(d^-1)),0.8475688998251009,0,bold(Biomass~index~'>'~1),6
P3.5,9,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),4.398811878062423,bold(Division~(d^-1)),0.7045729600571333,0.07950810768098396,bold(Biomass~index~'>'~1),4
P3.5,9,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),4.398811878062423,bold(Grazing~(d^-1)),0.08526669329707273,0.07950810768098397,bold(Biomass~index~'>'~1),5
P3.5,9,Control,Control,Control,Picoeukaryotes,bold(Higher~biomass~index),4.398811878062423,bold(Accumulation~(d^-1)),0.6193062667600606,0,bold(Biomass~index~'>'~1),6
P3.5,9,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),4.398811878062423,bold(Division~(d^-1)),0.4784672790278938,0.23985007593902757,bold(Biomass~index~'>'~1),7
P3.5,9,Thomas Fire Ash,Thomas Fire Ash,Ash leachate,Nanoeukaryotes,bold(Higher~biomass~index),4.398811878062423,bold(Grazing~(d^-1)),0.22348312185802524,0.23985007593902752,bold(Biomass~index~'>'~1),8
