stn,exp,lat,lon,cluster,composite_z,trt,tp,dt,days,hours,mean_cells_ml,sd_cells_ml,mean_gr_d,sd_gr_d,fgC_cell,fgN_cell,interp_fgC_cell,boc,interp_bocdoc,mean_toc,sd_toc,doc,toc_unc,mean_toc_unc,boc_rate,doc_rate,doc_rem,doc_bdl,bge,control_doc,amend_doc,amend_doc_bioav,bge_inclusion
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Low Temp. Ash,4,2023-08-10T15:00:00Z,3.96,95.03999999999999,942599,125957,0.7104451673049772,0.010060307245132375,NA,NA,41.39061019682615,3.251228981743178,TRUE,73.5207264957265,2.417035044131215,70.26949751398332,1.395475833369916,0.4,1.2513546701031915,2.2831311189147465,6.469396527491867,FALSE,0.5480870808234636,66.18465725353057,4.084840260452751,49.822568859729905,NA
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,Low Temp. Ash,5,2023-08-11T15:30:00Z,4.98,119.52000000000001,803466,287860,0.7104451673049772,0.010060307245132375,37.22123789364106,5.9009279587479755,37.22123789364106,2.492166593787684,FALSE,71.31025641025641,0.176282051282044,68.81808981646873,0.10177648976098752,0.4,1.2513546701031915,2.2831311189147465,6.469396527491867,FALSE,0.5480870808234636,66.1639185149452,2.654171301523533,49.822568859729905,NA
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,High Temp. Ash,0,2023-08-06T16:00:00Z,0,0,205891,1607,0.7031740021098376,0.027527803538798506,63.30270830711328,6.892129188466773,63.30270830711328,1.0861214930049883,FALSE,75.17564102564103,1.2597907165766373,74.08951953263605,0.7273405093381131,0.4,1.3948354024325909,2.1436506110151847,5.374489127018833,FALSE,0.6506822498336275,69.99791443641546,4.09160509622059,37.650094995030756,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,High Temp. Ash,1,2023-08-07T15:30:00Z,0.98,23.52,470582,131920,0.7031740021098376,0.027527803538798506,NA,NA,59.53112107454941,2.3345228347919678,TRUE,75.51858974358976,0.36807377487065984,73.18406690879779,0.2125074930032172,0.4,1.3948354024325909,2.1436506110151847,5.374489127018833,FALSE,0.6506822498336275,68.28715583845508,4.896911070342711,37.650094995030756,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,High Temp. Ash,2,2023-08-08T15:30:00Z,1.98,47.519999999999996,829127,184986,0.7031740021098376,0.027527803538798506,55.679287305122486,9.309720063879004,55.679287305122486,3.8471000371195245,FALSE,73.70021367521369,0.19583656816050762,69.85311363809416,0.11306629534464158,0.4,1.3948354024325909,2.1436506110151847,5.374489127018833,FALSE,0.6506822498336275,66.76654769724918,3.0865659408449773,37.650094995030756,TRUE
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,High Temp. Ash,3,2023-08-09T15:30:00Z,2.98,71.52,858949,177919,0.7031740021098376,0.027527803538798506,NA,NA,51.64771309870573,3.6968959598683493,TRUE,72.26111111111112,0.6275370379084977,68.56421515124278,0.3623086777629316,0.4,1.3948354024325909,2.1436506110151847,5.374489127018833,FALSE,0.6506822498336275,66.41902356668922,2.145191584553558,37.650094995030756,NA
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,High Temp. Ash,4,2023-08-10T15:00:00Z,3.96,95.03999999999999,913370,71418,0.7031740021098376,0.027527803538798506,NA,NA,47.700130021589324,3.6306556464849202,TRUE,71.58269230769231,0.49533491017824305,67.95203666120739,0.28598174373042773,0.4,1.3948354024325909,2.1436506110151847,5.374489127018833,FALSE,0.6506822498336275,66.18465725353057,1.7673794076768132,37.650094995030756,NA
8,PB3,34.37358,-119.9131,High biomass,1.26638608160356,High Temp. Ash,5,2023-08-11T15:30:00Z,4.98,119.52000000000001,669530,267280,0.7031740021098376,0.027527803538798506,43.584564685872216,8.327132277382093,43.584564685872216,2.4317644661776687,FALSE,71.14679487179488,0.6663661181503826,68.71503040561721,0.3847266576929694,0.4,1.3948354024325909,2.1436506110151847,5.374489127018833,FALSE,0.6506822498336275,66.1639185149452,2.5511118906720185,37.650094995030756,NA
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Control,0,2023-08-17T18:00:00Z,0,0,150864,51513,0.5220450610614275,0.002719861894939258,0.4432447287120622,3.102713100984447,0.4432447287120622,0.005572472729368047,FALSE,69.33567803155688,0.38093604634211714,69.33010555882751,0.2199335288996531,0.4,0.12035971184058801,0.42627421138840305,2.2326424363496358,FALSE,0.2823527875368499,69.33010555882751,0,NA,TRUE
16,PB16,34.21956,-119.5261,Low biomass,-5.6329711894272725,Control,1,2023-08-18T16:00:00Z,0.92,22.080000000000002,222091,47661,0.5220450610614275,0.002719861894939258,NA,NA,5.8346508812876055,0.10798528740633714,TRUE,68.5998289749531,0.1826157064319618,68.49184368754676,0.10543322726674682,0.4,0.12035971184058801,0.42627421138840305,2.2326424363496358,FALSE,0.2823527875368499,68.49184368754676,0,NA,TRUE
