Current Date: 31-Aug-2023
Instrument Serial Number: 8470H50282
Software Name: InCyte
Version Number: 3.4


,,,,,,,,,,,,Gains,,,,,High Calibration,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList,
 25, B3-1GF75-2-0, 9833, 10000, All Events, 1, 0.2, 564.102531028692, 17.4312282947368, 29.5444547368421, 31-AUG-2023 , 08:36:33 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 26, B3-1DNA-2-0, 4344, 10000, All Events, 1, 0.2, 247.526785867493, 17.5496158315789, 29.7451115789474, 31-AUG-2023 , 08:37:28 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 27, B3-2GF75-2-0, 8755, 10000, All Events, 1, 0.2, 502.273529529105, 17.4307413894737, 29.5436294736842, 31-AUG-2023 , 08:38:23 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 28, B3-2DNA-2-0, 7501, 10000, All Events, 1, 0.2, 430.368223074613, 17.4292608, 29.54112, 31-AUG-2023 , 08:39:18 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 29, B3-3GF75-2-0, 9113, 10000, All Events, 1, 0.2, 519.300029567653, 17.5486221473684, 29.743427368421, 31-AUG-2023 , 08:40:13 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 30, B3-3DNA-2-0, 4822, 10000, All Events, 1, 0.2, 274.780341282594, 17.5485625263158, 29.7433263157895, 31-AUG-2023 , 08:41:08 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 31, B3-4GF75-2-0, 8918, 10000, All Events, 1, 0.2, 511.589826862172, 17.4319338105263, 29.5456505263158, 31-AUG-2023 , 08:42:03 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 32, B3-4DNA-2-0, 4178, 10000, All Events, 1, 0.2, 238.069372135052, 17.5495065263158, 29.7449263157895, 31-AUG-2023 , 08:42:58 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 33, B3-1GF75-5-0, 7018, 10000, All Events, 1, 0.2, 399.936233832393, 17.5477973894737, 29.7420294736842, 31-AUG-2023 , 08:43:53 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 34, B3-1DNA-5-0, 5811, 10000, All Events, 1, 0.2, 333.344600106474, 17.4324107789474, 29.5464589473684, 31-AUG-2023 , 08:44:44 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 35, B3-2GF75-5-0, 5621, 10000, All Events, 1, 0.2, 320.29844032633, 17.5492581052632, 29.7445052631579, 31-AUG-2023 , 08:45:48 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 36, B3-2DNA-5-0, 7155, 10000, All Events, 1, 0.2, 410.469511540285, 17.4312581052632, 29.5445052631579, 31-AUG-2023 , 08:46:55 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 37, B3-3GF75-5-0, 8131, 10000, All Events, 1, 0.2, 466.459816632212, 17.4312978526316, 29.5445726315789, 31-AUG-2023 , 08:47:50 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 38, B3-3DNA-5-0, 5811, 10000, All Events, 1, 0.2, 331.137108725736, 17.5486221473684, 29.743427368421, 31-AUG-2023 , 08:48:46 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 39, B3-4GF75-5-0, 5720, 10000, All Events, 1, 0.2, 325.924756135108, 17.5500629894737, 29.7458694736842, 31-AUG-2023 , 08:49:40 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 40, B3-4DNA-5-0, 10000, 10000, All Events, 1, 0.2, 677.906274682211, 14.7513017263158, 25.0022063157895, 31-AUG-2023 , 08:50:27 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 41, B14-1.2GF75-0-0, 9014, 10000, All Events, 1, 0.2, 513.676013042304, 17.5480259368421, 29.7424168421053, 31-AUG-2023 , 08:51:30 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 3, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
 42, B14-1.2DNA-0-0, 6174, 10000, All Events, 1, 0.2, 354.175553512388, 17.4320331789474, 29.5458189473684, 31-AUG-2023 , 08:52:38 , 39.7394499863515, 4.55515453902677, 4, 3.36358566101486, 6.16884330163176, Yes, Yes, Yes, Yes, ---, ---, ---, ---, ---, ---, GRN-B, 30, 0.59, 500, 2, DESKTOP-R0UF04H\User, Unknown, D:/fcm/Filtrates_map.csv,
