stn,lat,lon,dt,trt,bact_cells,sd_bact_cells,boc,mean_toc,sd_toc
15,34.26434,-119.907,2023-08-21T16:50:00Z,Control,642912,44012,0.3853926387723293,67.9757477192877,0.3692574918017643
15,34.26434,-119.907,2023-08-16T17:00:00Z,Thomas Fire Ash,100924,1968,0.23338118721553766,73.09895683691384,0.7388860405277283
15,34.26434,-119.907,2023-08-17T15:30:00Z,Thomas Fire Ash,210212,20619,0.6652240234258147,73.28192859111478,1.001824032861393
15,34.26434,-119.907,2023-08-18T16:00:00Z,Thomas Fire Ash,416734,2236,1.7054315251334744,72.55521026793254,0.3167696622718863
15,34.26434,-119.907,2023-08-19T15:00:00Z,Thomas Fire Ash,727992,11901,2.4059210628396657,70.69448056419422,0.12548753600936766
15,34.26434,-119.907,2023-08-20T17:30:00Z,Thomas Fire Ash,811822,23405,1.946371158178055,71.0397492981101,0.6677512085417224
15,34.26434,-119.907,2023-08-21T16:50:00Z,Thomas Fire Ash,829873,38769,1.3266515164863897,69.96362728611479,1.2264372244606523
16,34.21956,-119.5261,2023-08-17T18:00:00Z,Control,150864,51513,0.005572472729368047,69.33567803155688,0.38093604634211714
16,34.21956,-119.5261,2023-08-18T16:00:00Z,Control,222091,47661,0.10798528740633714,68.5998289749531,0.1826157064319618
16,34.21956,-119.5261,2023-08-19T15:00:00Z,Control,552072,5253,0.5277403904206077,68.70045790577072,0.31685153418709616
16,34.21956,-119.5261,2023-08-20T17:30:00Z,Control,651020,21135,0.5828777333107932,68.82624406929273,0.7464585727473608
16,34.21956,-119.5261,2023-08-21T16:50:00Z,Control,695607,19776,0.5856832622850012,67.80632792673508,1.0356006876199586
16,34.21956,-119.5261,2023-08-22T16:00:00Z,Control,695168,30391,0.548487445766642,67.64595056824452,0.5129675313292095
16,34.21956,-119.5261,2023-08-17T18:00:00Z,Thomas Fire Ash,190310,27989,0.007029492026766047,73.24657949906212,0.18955074758936225
16,34.21956,-119.5261,2023-08-18T16:00:00Z,Thomas Fire Ash,205126,6153,0.10767056945361432,72.56733421604325,0.7944987897653126
16,34.21956,-119.5261,2023-08-19T15:00:00Z,Thomas Fire Ash,537516,9555,0.5563518481717011,71.78326713008937,0.1607468920645555
16,34.21956,-119.5261,2023-08-20T17:30:00Z,Thomas Fire Ash,915820,121034,1.145384042836263,70.58200926845416,0.4451768519279743
16,34.21956,-119.5261,2023-08-21T16:50:00Z,Thomas Fire Ash,933888,116932,1.3452856751089202,70.30318327264702,0.4998549425014299
16,34.21956,-119.5261,2023-08-22T16:00:00Z,Thomas Fire Ash,994455,133148,1.6199887883038144,69.63756482400971,1.2772264629787538
